2	ALL1_3
5904	DraIV_2_6
5905	DraIV_2_7
5906	DraIV_2_8
5915	DraIV_3_1
5924	DraIV_3_10
5926	DraIV_3_12
5927	DraIV_3_13
5916	DraIV_3_2
5919	DraIV_3_5
5920	DraIV_3_6
5921	DraIV_3_7
5922	DraIV_3_8
5923	DraIV_3_9
5932	DraIV_4_1
5933	DraIV_4_2
5934	DraIV_4_3
5935	DraIV_4_5
5938	DraIV_4_8
5939	DraIV_4_9
5940	DraIV_5_1
5948	DraIV_5_10
5953	DraIV_5_16
5955	DraIV_5_18
5956	DraIV_5_19
5959	DraIV_5_22
5961	DraIV_5_24
5963	DraIV_5_27
5942	DraIV_5_3
5966	DraIV_5_30
5968	DraIV_5_32
5969	DraIV_5_33
5970	DraIV_5_35
5943	DraIV_5_4
5945	DraIV_5_7
5946	DraIV_5_8
5972	DraIV_6_1
5982	DraIV_6_11
5983	DraIV_6_12
5984	DraIV_6_13
5988	DraIV_6_17
5990	DraIV_6_19
5991	DraIV_6_20
5992	DraIV_6_21
5993	DraIV_6_22
5994	DraIV_6_24
5996	DraIV_6_26
5997	DraIV_6_27
5998	DraIV_6_28
5999	DraIV_6_29
6003	DraIV_6_33
6004	DraIV_6_34
6007	DraIV_6_37
5975	DraIV_6_4
5979	DraIV_6_8
CS28962	Edinburgh_5
CS28965	Edinburgh_8
CS6690	Ei_4
CS6693	Eil_0
CS6694	El_0
5736	Ema_1
CS6923	Ema_1
CS6176	En_T
CS22629	Est_1
CS22645	Fei_0
CS6722	Go_2
CS22608	Got_7
CS6727	Gr_5
CS6730	Gu_0
CS1227	Hi_0
CS6904	Hl_3
CS6178	Hodja_Obi_Garm
CS6906	Is_1
CS924	Je54
CS6744	Jl_2
CS6746	Jl_4
CS6754	Kil_0
CS6756	Kl_0
CS6757	Kl_1
CS6767	La_1
CS22618	Ler_1
CS6772	Li_2:1
CS6776	Li_5:3
CS6782	Ll_1
CS6783	Ll_2
CS6786	Lo_2
CS22575	Lov_5
CS6789	Ma_0
CS6790	Ma_2
CS1364	Me_0
CS6793	Mh_1
CS22781	Navajo_5
CS6803	Nd_0
CS22598	NFA_8
CS6806	Np_0
CS1409	Nw_0
CS6815	Nw_4
CS6816	Ob_0
9434	Ade_2
CS6821	Old_2
6073	AMo1_7
CS22584	AMo2_1
CS22585	AMo2_3
6074	Ar_1
CS6823	Ove_0
CS6827	Pa_3
CS6831	Pf_0
CS6833	Pi_2
CS1459	Pla_0
CS6835	Pla_1
CS6836	Pla_3
CS6840	Po_1
CS6843	Pt_0
CS22775	Puent_4
CS1483	Rd_0
CS6849	Ri_0
CS6927	Rld_2
CS22565	RRS_10
CS22564	RRS_7
CS22791	San_Martin_1
CS1515	Sav_0
CS6858	Sg_1
CS22652	Shahdara
1552	Sku_30
CS6181	Sn(5)_1
9452	Spro_3
1404	Stabby_26
CS22604	Tamm_2
6184	TBA_01
CS6918	Te_0
8227	THA_03
6226	THA_08
1257	Tos_95_393
CS22647	Ts_1
CS22641	Tsu_1
CS6876	Tu_1
6287	Udu_9
6309	UduI_1_25
6401	UduI_4_16
6402	UduI_4_17
6403	UduI_4_18
6396	UduI_4_9
CS6882	Uk_4
5285	UKSE06_547
4758	UKSW06_158
CS28968	Ullapool_3
CS28969	Ullapool_4
CS22627	Van_0
CS6883	Vi_0
CS6885	Wa_1
CS6886	Wc_1
CS6925	Wei_1
CS6892	Wt_1
402	Zdarec2
403	Zdarec3
6416	Zdr_13
6417	Zdr_16
6418	Zdr_19
6425	ZdrI_1_24
6421	ZdrI_1_8
6427	ZdrI_2_1
6435	ZdrI_2_10
6436	ZdrI_2_11
6444	ZdrI_2_20
6445	ZdrI_2_21
6446	ZdrI_2_22
6451	ZdrI_2_28
6453	ZdrI_2_30
6455	ZdrI_2_32
6458	ZdrI_2_36
