2	ALL1_3
CS1337	Lip_0
8326	Lis_1
CS1345	Lm_2
CS1353	Lu_1
8335	Lund
CS1379	Mir_0
CS1385	Na_1
CS1431	Ost_0
CS1439	Pa_1
CS1445	Per_1
CS1485	Rak_2
CS1482	Rd_0
8369	Rev_1
CS1494	Rsch_4
8376	Sanna_2
CS1507	Sap_0
CS1535	St_0
CS1539	Stw_0
CS1549	Ta_0
CS1567	Tu_0
CS6041	Kelsterbach_4
8422	Fj_1_1
8423	Hov2_1
CS6751	Kas_2
8426	Ull1_1
CS6033	Lisse
8610	11ME1.32
8692	328PNA054
9057	Vinsl_v
9058	V_stervik
CS22715	Lerik1_6
CS22742	Lag1_6
CS22790	Cala_8
CS22803	Truk_5
CS22817	Ayu_Dag_3
100000	Wil_1_Dean_Lab
7158	Gr_5
7104	Dra_1
7017	Bla_11
7238	Ll_1
7301	Pla_1
1	ALL1_2
4	ALL1_5
5	ALL1_6
6	ALL1_7
7	ALL1_8
8	ALL1_9
9	ALL2_1
12	ALL2_4
23	CAM_16
32	CAM_25
45	CAM_42
48	CAM_45
51	CAM_48
60	CAM_56
62	CAM_58
69	CAM_64
74	CAM_7
77	CLA_7
79	CUR_10
80	CUR_2
81	CUR_3
82	CUR_4
83	CUR_5
84	CUR_6
85	CUR_7
86	CUR_8
87	CUR_9
88	CYR
89	DAM1
96	LAC_5
104	LDV_14
106	LDV_16
116	LDV_25
121	LDV_3
122	LDV_30
123	LDV_31
126	LDV_34
137	LDV_44
146	LDV_53
148	LDV_57
151	LDV_6
153	LDV_68
156	LDV_70
157	LDV_8
159	MAR2_3
160	MIB_1
162	MIB_100
163	MIB_11
165	MIB_14
166	MIB_15
167	MIB_16
168	MIB_17
169	MIB_19
170	MIB_2
171	MIB_20
174	MIB_23
175	MIB_24
179	MIB_29
183	MIB_32
184	MIB_33
185	MIB_34
186	MIB_35
187	MIB_36
188	MIB_37
190	MIB_39
191	MIB_40
194	MIB_43
196	MIB_47
198	MIB_50
200	MIB_54
201	MIB_55
202	MIB_57
203	MIB_58
204	MIB_60
205	MIB_61
206	MIB_62
207	MIB_63
208	MIB_64
210	MIB_67
212	MIB_69
213	MIB_70
214	MIB_73
215	MIB_75
216	MIB_76
217	MIB_77
219	MIB_80
222	MIB_83
223	MIB_84
224	MIB_86
225	MIB_87
227	MIB_89
228	MIB_9
229	MIB_90
230	MIB_92
231	MIB_93
236	MOG_11
237	MOG_12
242	MOG_37
244	MOG_40
252	MOG_55
257	PAR_10
261	PAR_6
262	PAR_8
263	PAR_9
264	PON
266	RAN
268	ROM_2
269	ROM_9
273	TOU_A1_105
275	TOU_A1_109
277	TOU_A1_111
278	TOU_A1_112
280	TOU_A1_114
282	TOU_A1_116
283	TOU_A1_117
287	TOU_A1_120
288	TOU_A1_122
290	TOU_A1_124
291	TOU_A1_125
292	TOU_A1_128
293	TOU_A1_129
295	TOU_A1_131
296	TOU_A1_133
297	TOU_A1_134
298	TOU_A1_137
302	TOU_A1_143
306	TOU_A1_18
309	TOU_A1_23
310	TOU_A1_26
311	TOU_A1_27
314	TOU_A1_33
316	TOU_A1_37
318	TOU_A1_39
320	TOU_A1_41
321	TOU_A1_43
322	TOU_A1_45
323	TOU_A1_47
326	TOU_A1_60
327	TOU_A1_61
329	TOU_A1_63
331	TOU_A1_65
332	TOU_A1_66
335	TOU_A1_69
337	TOU_A1_70
338	TOU_A1_73
339	TOU_A1_74
340	TOU_A1_75
341	TOU_A1_77
343	TOU_A1_79
346	TOU_A1_81
347	TOU_A1_82
348	TOU_A1_84
349	TOU_A1_85
355	TOU_A1_93
359	TOU_A1_98
360	TOU_C_1
361	TOU_C_2
363	TOU_D_1
364	TOU_D_5
366	TOU_E_11
367	TOU_E_2
368	TOU_E_7
369	TOU_F_1
371	TOU_G_1
372	TOU_H_10
375	TOU_H_3
377	TOU_I_1
379	TOU_I_2
380	TOU_I_6
383	TOU_J_3
385	TOU_K_2
386	TOU_K_3
387	TOU_L_10
388	TOU_L_17
389	TOU_L_5
390	VOU_1
391	VOU_10
393	VOU_4
394	VOU_5
395	VOU_6
396	VOU_7
397	VOU_8
6987	Ak_1
7028	Bch_1
7029	Bch_3
7030	Bch_4
7013	Bd_0
7032	Bsch_2
7106	Dr_0
7113	Ei_4
7116	Eil_0
7121	En_T
7194	Kl_0
7195	Kl_1
7228	Li_5:3
7245	Ma_0
7246	Ma_2
7250	Me_0
7268	Np_0
7262	Nw_4
7344	Sg_1
957	Belmonte_4_94
8304	Hi_0
7210	La_1
7256	Mh_1
7073	Chi_1
7265	Nd_0
9434	Ode_2
6073	OMo1_7
1312	Angso_57_419
1313	Angso_59_422
1317	Angso_74_430
1318	Angso_80_432
9321	Adal_1
9323	Adal_3
991	Ale_Stenar_41_1
992	Ale_Stenar_44_4
996	Ale_Stenar_50_11
997	Ale_Stenar_56_14
998	Ale_Stenar_57_16
1002	Ale_Stenar_64_24
1006	Ale_Stenar_77_31
5829	Ale1_2
1153	Aledal_1_34
1163	Aledal_11_63
1166	Aledal_14_73
1169	Aledal_17_82
8230	Algutsrum
5830	App1_12
5831	App1_14
9336	Bon_1
9339	Bot_1
9342	Bot_4
9332	Bar_1
5835	Bil_3
5836	Boo2_3
1062	Brosarp_15_138
1063	Brosarp_21_140
1064	Brosarp_25_142
1068	Brosarp_37_149
1072	Brosarp_51_157
1073	Brosarp_53_159
1075	Brosarp_63_163
9351	Dod_1
9352	Dod_2
9353	Dod_3
5856	Dor_10
9343	Dja_1
9344	Dja_2
9349	Djk_3
5860	Dra_3
5865	Dra1_4
5867	Dra2_1
5870	Dra3_9
9354	Eden_15
9355	Eden_16
9356	Eden_17
8218	Eden_4
6010	Eden_5
6011	Eden_6
6012	Eden_7
6013	Eden_9
9363	EdJ_2
6017	Eds_9
9367	EkN_3
9369	EkS_2
9371	FaL_1
9378	FaU_4
6019	Fja1_2
6020	Fja1_5
6021	Fja2_4
6022	Fja2_6
6023	Fly2_1
6024	Fly2_2
9380	FlyA_3
9384	Fro_1
9385	Fro_3
9381	Fri_1
9382	Fri_2
9383	Fri_3
1132	Gardby_17_198
9386	Gron_12
9388	Gron_14
6030	Gron_5
6025	Gro_3
9390	Had_1
9391	Had_2
9392	Had_3
9399	Ham_1
1366	Ham_10_239
1360	Ham_2_228
1374	Ham_27_256
1362	Ham_6_232
1363	Ham_7_233
9402	Hel_3
1585	Hen_16_268
9404	HolA1_1
9405	HolA1_2
9407	HolA2_2
6035	Hov1_10
6034	Hov1_7
6036	Hov3_2
6038	Hov3_5
6039	Hovdala_2
8307	Hovdala_6
9408	Kal_1
9409	Kia_1
9410	Kor_1
9411	Kor_2
9412	Kor_3
9413	Kor_4
9416	Kru_3
9418	Kva_2
9419	Lag_1
9421	Lan_1
6041	Lis_3
9427	Nas_2
9433	Nyl_13
6069	Nyl_7
6071	Omn_5
9436	Puk_1
9437	Puk_2
1435	Rod_17_319
1409	Rod_38
6076	Rev_2
6077	Rev_3
9442	Sim_1
9443	Sim_2
9446	Sim_5
6085	Sparta_1
9450	Spro_1
9451	Spro_2
6086	Sr:3
8386	Sr:5
1391	Stabby_13
9453	Ste_2
9454	Ste_3
9455	Ste_4
6087	Stu_2
6177	TAL_03
6180	TAL_07
6169	TAD_01
6170	TAD_02
6171	TAD_03
6172	TAD_04
6173	TAD_05
6174	TAD_06
6090	T1000
6091	T1010
6092	T1020
6093	T1030
6094	T1040
6095	T1050
6096	T1060
6097	T1070
6098	T1080
6099	T1090
6100	T1110
6101	T1120
6102	T1130
6103	T1150
6104	T1160
6106	T460
6107	T470
6108	T480
6109	T510
6110	T520
6111	T530
6112	T540
6114	T570
6115	T580
6116	T590
6118	T610
6119	T620
6120	T630
6121	T640
6122	T670
6123	T680
6124	T690
6125	T710
6126	T720
6127	T730
6128	T740
6129	T750
8225	T760
6131	T780
6132	T790
6133	T800
6134	T810
6136	T840
6137	T850
6138	T860
6140	T880
6141	T890
6142	T900
6143	T910
6144	T920
6145	T930
6146	T940
6147	T950
6148	T960
6149	T970
6150	T980
6151	T990
6154	TAA_04
6163	TAA_14
6166	TAA_17
6184	TBO_01
6197	TDr_11
6198	TDr_13
6199	TDr_14
6200	TDr_15
6201	TDr_16
6202	TDr_17
6203	TDr_18
6189	TDr_2
6207	TDr_22
6191	TDr_4
6192	TDr_5
6193	TDr_7
6194	TDr_8
6195	TDr_9
6209	TEDEN_02
6210	TEDEN_03
6212	TFA_02
6214	TFA_04
6215	TFA_05
6216	TFA_06
6217	TFA_07
6218	TFA_08
6220	TGR_01
6221	TGR_02
8227	THO_03
6226	THO_08
6231	TNY_04
6235	TOM_01
6236	TOM_02
6237	TOM_03
6238	TOM_04
6240	TOM_06
6241	TOM_07
6242	Tomegap_2
