IRGC40275	Black-Gora
PI536047	Teqing
IRGC14957	Lac-23
CIor9187	S4542A3-49B-2B12
CIor8	Ostiglia
CIor1658	Sultani
CIor2584	Tondok
PI312627	IR8
IRGC45195	BJ1
CIor461	Asse-Y-Pung
NULL	Moroberekan-x-CO39
IRGC105404	Oryza-rufipogon-RA162
IRGC106163	Oryza-rufipogon-RA171
IRGC105491	Oryza-rufipogon-RA2747
IRGC106144	Oryza-rufipogon-RA2762
W1952	Oryza-rufipogon-RA4782
W1953(-3)	Oryza-rufipogon-RA4783
W1955	Oryza-rufipogon-RA4784
W1956(-2)	Oryza-rufipogon-RA4785
W1957	Oryza-rufipogon-RA4786
W1961(-1)	Oryza-rufipogon-RA4790
W1963	Oryza-rufipogon-RA4792
W1965(-2)	Oryza-rufipogon-RA4794
R1	Oryza-rufipogon-RA4814
R2(a)	Oryza-rufipogon-RA4815
R3(a)	Oryza-rufipogon-RA4816
R7(b)	Oryza-rufipogon-RA4820
R10(a)	Oryza-rufipogon-RA4823
R12(c)	Oryza-rufipogon-RA4825
R13	Oryza-rufipogon-RA4826
R15(b)	Oryza-rufipogon-RA4828
RA5539	M-202
IRGC101148	Oryza-meridionalis-RA2661
IRGC105706	Oryza-nivara-RA154
IRGC12731	Nipponbare
IRGC104119	Oryza-barthii-RA2740
RA5531	9311
IRGC106262	Oryza-rufipogon-RA2662
IRGC328	Azucena
IRGC66970	IR64
RA5539	M202-new
NULL	Zhenshan97-x-Minghui63
NULL	IR64-x-Azucena
PI474580	Newbonnet
CIor9969	Newrex
CIor2702	Nira
CIor9407	Northrose
CIor9481	Nova-66
CIor9948	Nova-76
CIor2128	Improved-Blue-Rose
CIor9964	M5
CIor9967	M7
CIor9968	M9
PI538254	Millie
CIor1600	Colusa
PI331581	IR-659-10-8-3
PI312627	IR-8
PI572412	Jackson
CIor-9841	Stg-697717
CIor9980	M-201
PI561736	Cypress
PI559472	M-204
CIor9708	Labelle
PI502969	Rico-1
PI568890	Adair
CIor8310	Arkrose
CIor9515	B3812A
CIor9433	Belle-Patna
CIor9978	Bellemont
CIor9544	Bluebelle
CIor8322	Bluebonnet
CIor8990	Bluebonnet-50
PI474579	Bond
CIor9875	Brazos
CIor7786	Calady
CIor9202	Calady-40
PI494104	Calmochi-101
CIor9973	Calmochi-201
CIor9977	Calmochi-202
PI400079	Caloro
CIor8988	Calrose
CIor9835	CS-S4
CIor11038	D31
CIor9534	Dawn
CIor1206	Delitus
CIor9483	DELLA
CIor8320	Delrex
CIor2127	Edith
CIor9416	Gulfrose
CIor9052	Hill-Long-Grain
CIor8992	Improved-Bluebonnet
PI321161	IR-456-3-2-1
CIor9971	L-201
CIor9962	LA110
CIor5451	Lady-Wright
PI283684	Latisail
CIor9979	Leah
CIor9882	Lebonnet
PI538248	Maybelle
PI506428	Mercury
CIor8998	Nato
CIor9836	Nortai
CIor9463	Palmyra
PI476818	Pecos
CIor8311	Prelude
CIor8644	Rexark
PI476819	Skybonnet
CIor9584	Starbonnet
CIor8989	Sunbonnet
PI487195	Tebonnet
CIor8321	Texas-Patna
PI538249	Texmont
CIor9013	TORO
CIor9836	Vegold
CIor7787	Zenith
CIor8991	TP49
CIor9166	Rexoro-Rogue
CIor12168	Sinampaga-Selection
CIor9975	M-401
CIor9974	S-201
CIor5793	Supreme-Blue-Rose
PI505818	M-102
PI505817	A-301
CIor9701	Stg-663226
CIor9556	Stg-59d1350
CIor9902	71cr-5038
CIor8993	Century-Patna-231
CIor9122	B4512a1-32
CIor9453	Stg-533187
CIor9580	Stg-6102515
CIor9217	C3-72-3
CIor9545	B572a3-48
CIor12346	VISTA
PI483070	TORO-2
CIor9654	Bonnet-73
CIor9976	M-302
CIor9973	M-301
CIor9965	S6
PI271672	Taichung-Native-1
RA1416	Moroberekan
PI527707	Katy
PI558511	Akitakomachi
PI388345	Arborio
CIor8988	Calrose
IRTP-18216	GIZA176
IRTP-20912	GIZA178
IR40931	IR40931
PI291478	Italica-Livorno
PI348905	Uz-Ros-269
PI637530	Yukihikari
CIor9975	M-401
CIor9974	S-201
CIor9980	M-201
IRGC105491	Oryza-rufipogon-IRGC105491
PI330464	Koshihikari
PI547249	L-203
PI494105	M-202
PI514276	M-203
PI559472	M-204
IRGC30416	IR36
RA1411	Nipponbare
6165TOG	6165TOG
6195TOG	IRGC100134
6196TOG	IRGC100136
6197TOG	IRGC100136
6198TOG	IRGC100137
6199TOG	IRGC100137
6202TOG	IRGC100149
6203TOG	IRGC100152
6204TOG	IRGC100158
6205TOG	IRGC100160
6206TOG	IRGC100854
6208TOG	IRGC100977
6209TOG	IRGC100978
6210TOG	IRGC100980
6211TOG	IRGC100982
6218TOG	IRGC101836
6220TOG	IRGC101853
6221TOG	IRGC101880
6222TOG	IRGC101884
6232TOG	IRGC102193
6234TOG	IRGC102195
6237TOG	IRGC102198
6238TOG	IRGC102199
6239TOG	IRGC102200
6246TOG	IRGC102210
6248TOG	IRGC102212
6251TOG	IRGC102215
6252TOG	IRGC102216
6255TOG	IRGC102218
6265TOG	IRGC102225
6266TOG	IRGC102226
6271TOG	IRGC102231
6272TOG	IRGC102232
6281TOG	IRGC102240
6287TOG	IRGC102245
6292TOG	IRGC102251
6295TOG	IRGC102254
6296TOG	IRGC102255
6301TOG	IRGC102258
6302TOG	IRGC102259
6303TOG	IRGC102260
6304TOG	IRGC102261
6305TOG	IRGC102262
6306TOG	IRGC102263
6307TOG	IRGC102264
6308TOG	IRGC102265
6312TOG	IRGC102268
6313TOG	IRGC102269
6319TOG	IRGC102273
6322TOG	IRGC102275
6324TOG	IRGC102277
6325TOG	IRGC102278
6326TOG	IRGC102279
6328TOG	IRGC102282
6329TOG	IRGC102283
6330TOG	IRGC102284
6332TOG	IRGC102288
6334TOG	IRGC102289
6335TOG	IRGC102291
6339TOG	IRGC102295
6343TOG	IRGC102299
6349TOG	IRGC102304
6351TOG	IRGC102306
6354TOG	IRGC102308
6356TOG	IRGC102309
6357TOG	IRGC102310
6360TOG	IRGC102312
6366TOG	IRGC102316
6367TOG	IRGC102317
6461TOG	IRGC102483
6462TOG	IRGC102484
7417TOG	IRGC102637
7418TOG	IRGC102649
6231TOG	IRGC102105
5680TOG	Argungu(1)
5486TOG	Babba-Fari(1)
5324TOG	Bakin-Iri(1)
5384TOG	Barta-Tazo(1)
5385TOG	Barta-Tazo(2)
5497TOG	Barta-Tazo(7)
5588TOG	Bawku(1)
5596TOG	Bawku(3)
5382TOG	Bayawure(2)
5397TOG	Bayawure(30)
5442TOG	Biya-Gero(1)
5429TOG	Biyau(2)
5533TOG	Biyau(3)
5566TOG	Biyau(Popular)
5573TOG	Biyegeru
7173TOG	Cg-171-1
7174TOG	Cg-171(3)
7133TOG	CG11
7135TOG	CG13
7145TOG	CG35(2)
7126TOG	CG4
5602TOG	Damongo(Wild)
5641TOG	Dan-Batta(1)
5293TOG	Dan-Boto(1)
6804TOG	Dan-Dauda-78-94-A
5482TOG	Dan-Gande(1)
5307TOG	Dan-Gashwwa
5422TOG	Dan-Gyaranshe(1)
5423TOG	Dan-Gyaranshe(2)
5457TOG	Dan-Gyaranshe(4)
5415TOG	Dan-Iri-2
5447TOG	Dan-Iri(2)
5500TOG	Dan-Kakale
5495TOG	Dan-Kaushi
5390TOG	Dan-Maiwuya(6)
5508TOG	Dan-Maiwuya(8)
5474TOG	Dan-Manu
5402TOG	Dan-Maruya(1)
5456TOG	Farin-Dan-Boto
7432TOG	Ganye(2)
5919TOG	Gbagai
5785TOG	Gbakiah-1
5775TOG	Gbeke-1(Late)
5776TOG	Gbeke-2(Early)
7020TOG	Gbensema
5820TOG	Gee
6017TOG	Gidan-Galadima(Wild)
5979TOG	Hakuri-Montol(2)
5282TOG	IB91
5283TOG	IB92
5284TOG	IB93
7192TOG	IG10
5548TOG	Jatau
7404TOG	Kamo(1)
5639TOG	Kano(2)
5709TOG	Kari
6154TOG	Katsina-6
6135TOG	Katsina-Ala-1
6144TOG	Katsina-Ala(Early)-4
6146TOG	Katsina-Ala(Wild)5
5516TOG	Kyanga-Gumi-Karami(2)
5286TOG	Kyanga(1)
5470TOG	Kyanga(3)
5491TOG	Kyanga(9)
7105TOG	LG13-1
7108TOG	LG14
7103TOG	LG9-2
5980TOG	Longvel-Shendam(1)
5795TOG	Mahmo
5750TOG	Mahn
5555TOG	Mai-Kumatu(1)
5828TOG	Maiwo-I
5598TOG	Manga(2)
5923TOG	Maywar-I
7214TOG	MG5
5817TOG	Najaboh(3)
7401TOG	New-Ayoma-Local(1)
7402TOG	New-Ayoma-Local(2)
5620TOG	Nyagbo-Agodone
7403TOG	Ond-Ayomalocal
6080TOG	Panyam(Wild)-3
6943TOG	Pedikum
5815TOG	Que(2)
5552TOG	Rakama(Early)
5435TOG	Rakin-Dan-Boto(1)
5805TOG	Rokchusonecon(1)
5810TOG	Rokchusonecon(2)
5685TOG	Sainyihan-Daji
7032TOG	Sali-1
5666TOG	Semi-Wild
5747TOG	Shawhon(2)
5969TOG	Shendam(2)
5984TOG	Shendam(Weedy)1
5892TOG	Silibuy
5885TOG	SOKPONG(5)-Long-Panicle
5887TOG	Sokpong(6)
5438TOG	Tamba(1)
5453TOG	Tanba(1)
5479TOG	Tattara(1)
7274TOG	UG26--3
5603TOG	Wenchi(Upland)
5673TOG	Wurno(2)
5949TOG	Yandev(1)
5950TOG	Yandev(2)
6126TOG	Yandev(Weedy)1
5467TOG	Yar-Butuka
5440TOG	Yar-Karengeshe
5420TOG	Yar-Mamman(1)
6193TOG	Zaki-Biam-Yande(Wild)1
5635TOG	Zaria(2)
7262TOG	Ug14
RA472	IR64
1010/129(A)	IRGC277805
1019/292	AKP-1
1001/54	Ambemohar
1003/881	Ambemohar-157
1017/181(B)	Ayepyung
RA199	Azucena
1186/182	Balugyun
1292/705	Barhail
1165/111	Basmati-150
1100/246	Basmati-213
1246/669	Basmati-334
1250/674	Basmati-372A
1083/262	Basmati-397
1139/102B	Basmati-405
1162/109	Basmati-5836
1199/204	Basmati-6113
1203/206	Basmati-6131
1211/211a	Basmati-6313
1065/53	Basmati-A3-3
1060/484	Basmati-Bahar
1104/107	Basmati-Kamon
1046/14	Basmati-Mehtrah
1077/220	Basmati-Norat-439
1063/496	Basmati-Sathi
1135/100A	Basmati-Sufaid-100
1288/576	Basmati-T3(Haiti)
